provincia,municipio,poblacion
pobmun98,10,6820
pobmun98,100,216
pobmun98,1000,372
pobmun98,1001,452
pobmun98,1002,244
pobmun98,1003,56
pobmun98,1004,373
pobmun98,1005,405
pobmun98,1006,222
pobmun98,1007,236
pobmun98,1008,479
pobmun98,1009,2287
pobmun98,101,472
pobmun98,1010,588
pobmun98,1011,84
pobmun98,1012,265
pobmun98,1013,2287
pobmun98,1014,4684
pobmun98,1015,1209
pobmun98,1016,182
pobmun98,1017,1083
pobmun98,1018,162
pobmun98,1019,492
pobmun98,102,31
pobmun98,1020,1239
pobmun98,1021,640
pobmun98,1022,26666
pobmun98,1023,1108
pobmun98,1024,628
pobmun98,1025,74
pobmun98,1026,33
pobmun98,1027,313
pobmun98,1028,421
pobmun98,1029,4124
pobmun98,103,272
pobmun98,1030,3472
pobmun98,1031,949
pobmun98,1032,196
pobmun98,1033,573
pobmun98,1034,349
pobmun98,1035,633
pobmun98,1036,668
pobmun98,1037,537
pobmun98,1038,1366
pobmun98,1039,166
pobmun98,104,286
pobmun98,1040,449
pobmun98,1041,463
pobmun98,1042,2145
pobmun98,1043,2511
pobmun98,1044,92
pobmun98,1046,93
pobmun98,1047,19
pobmun98,1048,584
pobmun98,1049,3502
pobmun98,105,2609
pobmun98,1050,101
pobmun98,1051,251
pobmun98,1052,189
pobmun98,1053,465
pobmun98,1054,392
pobmun98,1055,168
pobmun98,1056,20397
pobmun98,1057,74
pobmun98,1058,318
pobmun98,1059,66
pobmun98,106,623
pobmun98,1060,307
pobmun98,1061,180
pobmun98,1062,21
pobmun98,1063,195
pobmun98,1064,57
pobmun98,1065,90
pobmun98,1066,9339
pobmun98,1067,194
pobmun98,1068,1081
pobmun98,1069,2174
pobmun98,107,105
pobmun98,1070,237
pobmun98,1071,108
pobmun98,1072,2508
pobmun98,1073,997
pobmun98,1074,387
pobmun98,1075,2525
pobmun98,1076,157
pobmun98,1077,338
pobmun98,1078,100
pobmun98,1079,240
pobmun98,108,355
pobmun98,1080,1603
pobmun98,1081,567
pobmun98,1082,179
pobmun98,1084,18
pobmun98,1085,418
pobmun98,1086,815
pobmun98,1087,788
pobmun98,1088,742
pobmun98,1089,21
pobmun98,109,664
pobmun98,1090,248
pobmun98,1091,3893
pobmun98,1092,99
pobmun98,1093,1068
pobmun98,1094,6834
pobmun98,1095,132
pobmun98,1096,801
pobmun98,1097,915
pobmun98,1098,179
pobmun98,1099,887
pobmun98,11,358
pobmun98,110,56
pobmun98,1100,1541
pobmun98,1101,126
pobmun98,1102,50
pobmun98,1103,477
pobmun98,1104,658
pobmun98,1105,2362
pobmun98,1106,555
pobmun98,1107,436
pobmun98,1108,25947
pobmun98,1109,583
pobmun98,111,309
pobmun98,1110,207
pobmun98,1111,1117
pobmun98,1112,85
pobmun98,1113,261
pobmun98,1114,1204
pobmun98,1115,9060
pobmun98,1116,79
pobmun98,1117,663
pobmun98,1118,426
pobmun98,1119,142
pobmun98,112,895
pobmun98,1120,739
pobmun98,1121,1456
pobmun98,1122,243
pobmun98,1123,164
pobmun98,1124,665
pobmun98,1125,184
pobmun98,1126,3227
pobmun98,1127,2669
pobmun98,1128,247
pobmun98,1129,335
pobmun98,113,405
pobmun98,1130,86
pobmun98,1131,274
pobmun98,1132,243
pobmun98,1133,2776
pobmun98,1134,908
pobmun98,1135,564
pobmun98,1136,1438
pobmun98,1137,380
pobmun98,1139,729
pobmun98,114,122
pobmun98,1140,431
pobmun98,1141,491
pobmun98,1142,156
pobmun98,1143,27644
pobmun98,1144,73
pobmun98,1145,365
pobmun98,1146,69
pobmun98,1147,5132
pobmun98,1148,735
pobmun98,1149,145
pobmun98,115,716
pobmun98,1150,476
pobmun98,1151,3010
pobmun98,1152,3771
