"provincia","municipio","poblacion"
"pobmun98","10","6820"
"pobmun98","100","216"
"pobmun98","1000","372"
"pobmun98","1001","452"
"pobmun98","1002","244"
"pobmun98","1003","56"
"pobmun98","1004","373"
"pobmun98","1005","405"
"pobmun98","1006","222"
"pobmun98","1007","236"
"pobmun98","1008","479"
"pobmun98","1009","2287"
"pobmun98","101","472"
"pobmun98","1010","588"
"pobmun98","1011","84"
"pobmun98","1012","265"
"pobmun98","1013","2287"
"pobmun98","1014","4684"
"pobmun98","1015","1209"
"pobmun98","1016","182"
"pobmun98","1017","1083"
"pobmun98","1018","162"
"pobmun98","1019","492"
"pobmun98","102","31"
"pobmun98","1020","1239"
"pobmun98","1021","640"
"pobmun98","1022","26666"
"pobmun98","1023","1108"
"pobmun98","1024","628"
"pobmun98","1025","74"
"pobmun98","1026","33"
"pobmun98","1027","313"
"pobmun98","1028","421"
"pobmun98","1029","4124"
"pobmun98","103","272"
"pobmun98","1030","3472"
"pobmun98","1031","949"
"pobmun98","1032","196"
"pobmun98","1033","573"
"pobmun98","1034","349"
"pobmun98","1035","633"
"pobmun98","1036","668"
"pobmun98","1037","537"
"pobmun98","1038","1366"
"pobmun98","1039","166"
"pobmun98","104","286"
"pobmun98","1040","449"
"pobmun98","1041","463"
"pobmun98","1042","2145"
"pobmun98","1043","2511"
"pobmun98","1044","92"
"pobmun98","1046","93"
"pobmun98","1047","19"
"pobmun98","1048","584"
"pobmun98","1049","3502"
"pobmun98","105","2609"
"pobmun98","1050","101"
"pobmun98","1051","251"
"pobmun98","1052","189"
"pobmun98","1053","465"
"pobmun98","1054","392"
"pobmun98","1055","168"
"pobmun98","1056","20397"
"pobmun98","1057","74"
"pobmun98","1058","318"
"pobmun98","1059","66"
"pobmun98","106","623"
"pobmun98","1060","307"
"pobmun98","1061","180"
"pobmun98","1062","21"
"pobmun98","1063","195"
"pobmun98","1064","57"
"pobmun98","1065","90"
"pobmun98","1066","9339"
"pobmun98","1067","194"
"pobmun98","1068","1081"
"pobmun98","1069","2174"
"pobmun98","107","105"
"pobmun98","1070","237"
"pobmun98","1071","108"
"pobmun98","1072","2508"
"pobmun98","1073","997"
"pobmun98","1074","387"
"pobmun98","1075","2525"
"pobmun98","1076","157"
"pobmun98","1077","338"
"pobmun98","1078","100"
"pobmun98","1079","240"
"pobmun98","108","355"
"pobmun98","1080","1603"
"pobmun98","1081","567"
"pobmun98","1082","179"
"pobmun98","1084","18"
"pobmun98","1085","418"
"pobmun98","1086","815"
"pobmun98","1087","788"
"pobmun98","1088","742"
"pobmun98","1089","21"
"pobmun98","109","664"
"pobmun98","1090","248"
